name,sesai_id,created_at,updated_at
"TABAJARA",2174,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANINDÉ ",3042,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KALABAÇA",3041,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BAKAIRI",2024,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPUIA-KARIRI",12,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ANACÉ",3094,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANAMANTI",2077,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PARECI",2157,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUATO",2052,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NAMBIKWARA",2142,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MYKY",2141,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"IRANTXE",2056,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ENAWENE-NAWE",2038,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"UMUTINA",2200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BORORO",2029,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CINTA LARGA",2033,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SABANÊ",2267,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MANDUCA",2274,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CHIQUITANO",3048,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"RIKBAKTSA",2169,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NEGAROTÊ",2285,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAIABI",2432,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TIMBIRA",2185,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TEMBÉ",2181,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AMANAYE",2003,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"HIXKARYANA",2053,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SURUÍ",2281,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAAPOR",2249,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUARANI M¿BYA",2050,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SURUÍ",2248,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KATUENA",2097,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XEREU",2217,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GAVIAO PARKATEJE",2044,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ZO'E",2228,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAINGANG",2069,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KRIKATI",2113,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XOKLENG",2222,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XETA",2218,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUAJA",2046,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUARANI NANDEVA",2051,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"BOTOCUDO (GERÉN)",3039,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AICABA",2862,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAPAYUNA",2175,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TRUMAI",2191,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"APIAKA",2006,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PANARA",2152,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SUYA",2173,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"INGARIKO",2055,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PATAMONA",2159,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAUREPANG",2180,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TAWANDÊ",2275,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MACURAP",2124,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"WAIMIRI ATROARI",2206,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"GUARANI KAIOWA",2049,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAIOWA",2232,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CHARRUA",3074,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MURA",2140,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SATERE-MAUE",2171,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PIRAHÃ",2164,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"DENI",2035,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TENHARIM",2182,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARIPUANÁ",3021,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TORA",2188,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TORÁ DO BAIXO GRANDE",3060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PARINTINTIN",2158,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"DIAHOI",2037,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANELA RANKOKRAMEKRA",2081,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANELA",2079,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KANELA APANIEKRA",2080,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KRAHO",2110,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KADIWEU",2067,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KINIKINAWA",3046,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TEFÉ",2772,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"OFAIE",2147,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JARAWARA",2061,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JARAWARA",3024,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ZURUAHÃ",3034,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ZURUAHÁ",2230,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAMURI ",3020,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KATAWIXI",3026,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XAKRIABA",2214,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XUKURU",2223,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXIXO",2103,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MOKURIÑ",3114,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAXIXÓ",3045,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMBIWA",2075,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PANKARÁ",3057,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PIPIPAN",2332,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAPINAWA",2083,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PACA",2712,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TURIWARA",2196,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ZORO",2229,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KAMPÉ",2412,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO MON",2259,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO NÁO",2264,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUPARI",2194,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO WARAM XIJEIN",2452,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KASSUPÁ",2272,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MEQUEM",2136,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MIQUELENO",3058,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SAKIRABIAR",2289,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CUJUBIM",2254,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"URU-EU-WAU-WAU",2203,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARICAPÚ",2015,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CANOE",2030,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KWAZAR",2122,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO WIN",2262,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"PUROBORÁ ",3059,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO WARAM",2260,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"CABIXI",2255,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO EO",2261,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JABOTI",2058,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AJURU",2002,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARUÁ",3063,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARUA",2017,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO AT",2258,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ARIKAPU",3061,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO WAM",2453,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"ORO JOWIN",2454,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MASSAKA",2256,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AIKANA",2231,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"JUMA",2065,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KARAJA XAMBIOA",2087,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"APINAYE",2007,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KRAHÔ KANELA",3069,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MATSE",2131,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MATIS",2130,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KORUBO",3028,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AIKANÃ-KWASÁ",2290,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SAKIRIABAR",2170,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"HALANTESU",2278,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MAMAINDÊ",2268,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KITHÃULU",2276,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TUBARÃO",2284,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AKUNTSU",2270,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AWUARÁ",2211,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"YAWALAPITI",2226,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MATIPÚ",2129,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KALAPALO",2071,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"AWETI",2023,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"IKPENG",2313,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NAMBIKWARA DO NORTE",2144,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"KUIKURO",2115,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"NAHUKWA",2312,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"TXIKAO",2199,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"MEHINAKU",2134,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"XIRIANA",2250,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"SANUMA",2592,"2015-11-06 00:00:00","2015-11-06 00:00:00"
"YEKUANA",2227,"2015-11-06 00:00:00","2015-11-06 00:00:00"
