base_polo_id,name,sesai_id,city_name,city_sesai_id,created_at,updated_at
187,"BARRIGUDA",47552,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"KITARA",47237,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"PONTA DÁGUA",51462,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"BELA VISTA",49564,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MISSAO NOVA",49811,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"CABOCLA",49870,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"BACURIZINHO",49514,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"SARDINHA NOVA",49502,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"PORCO",51499,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"JAPÃO",47117,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"BEIRA RIO",47891,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"TAMARINDO",52017,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
188,"MYRAWYRENDÁ",51100,"MARANHAOZINHO",210637,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"BURITIZINHO",48539,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"ALTAMIRA II",49132,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"NOVA CABEÇEIRA",47672,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"LAGOA TORTA",49618,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"MACAUBA BR",50521,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
190,"MAÇARANDUBA",50438,"BOM JARDIM",210200,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"CANAFISTULA",49807,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"SAPUCAIA BR",50360,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"ANGICO TORTO",51460,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
185,"CAJA",47163,"ARAME",210095,"2015-11-06 00:00:00","2015-11-06 00:00:00"
187,"GUARUHÚ",49530,"AMARANTE DO MARANHAO",210060,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"EL BETEL",50228,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"CAJAZEIRA",49501,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"APERTADO",50426,"GRAJAU",210480,"2015-11-06 00:00:00","2015-11-06 00:00:00"
189,"BETANIA",51500,"JENIPAPO DOS VIEIRAS",210547,"2015-11-06 00:00:00","2015-11-06 00:00:00"
186,"BOA ESPERANÇA",48958,"BARRA DO CORDA",210160,"2015-11-06 00:00:00","2015-11-06 00:00:00"
