cod_uf,name_uf,cod_city,city,created_at,updated_at
11,"Rondônia",00080,"Costa Marques","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00106,"Guajará-Mirim","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01492,"São Francisco do Guaporé","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00023,"Ariquemes","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00130,"Machadinho D'Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00262,"Rio Crespo","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00403,"Alto Paraíso","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00601,"Cacaulândia","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01401,"Monte Negro","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01757,"Vale do Anari","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00114,"Jaru","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00122,"Ji-Paraná","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00155,"Ouro Preto do Oeste","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",00254,"Presidente Médici","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01005,"Governador Jorge Teixeira","2015-11-06 00:00:00","2015-11-06 00:00:00"
11,"Rondônia",01302,"Mirante da Serra","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02806,"Curralinho","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07706,"São Sebastião da Boa Vista","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02004,"Cachoeira do Arari","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02509,"Chaves","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04901,"Muaná","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05700,"Ponta de Pedras","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06302,"Salvaterra","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06401,"Santa Cruz do Arari","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07904,"Soure","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00800,"Ananindeua","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01303,"Barcarena","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01402,"Belém","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01501,"Benevides","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04422,"Marituba","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06351,"Santa Bárbara do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01907,"Bujaru","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02400,"Castanhal","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03408,"Inhangapi","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06500,"Santa Isabel do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07003,"Santo Antônio do Tauá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02608,"Colares","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02905,"Curuçá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04109,"Magalhães Barata","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04307,"Maracanã","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04406,"Marapanim","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06203,"Salinópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07102,"São Caetano de Odivelas","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07466,"São João da Ponta","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07474,"São João de Pirabas","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07961,"Terra Alta","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08209,"Vigia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00909,"Augusto Corrêa","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01600,"Bonito","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01709,"Bragança","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02202,"Capanema","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03200,"Igarapé-Açu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05007,"Nova Timboteua","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05601,"Peixe-Boi","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06104,"Primavera","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06112,"Quatipuru","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06609,"Santa Maria do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06906,"Santarém Novo","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07409,"São Francisco do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08035,"Tracuateua","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00107,"Abaetetuba","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01204,"Baião","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02103,"Cametá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03309,"Igarapé-Miri","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04000,"Limoeiro do Ajuru","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04604,"Mocajuba","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05205,"Oeiras do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00206,"Acará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02756,"Concórdia do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04703,"Moju","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07953,"Tailândia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08001,"Tomé-Açu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00958,"Aurora do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01956,"Cachoeira do Piriá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02301,"Capitão Poço","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03077,"Garrafão do Norte","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03457,"Ipixuna do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03507,"Irituia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04059,"Mãe do Rio","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04950,"Nova Esperança do Piriá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05403,"Ourém","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06559,"Santa Luzia do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07201,"São Domingos do Capim","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07607,"São Miguel do Guamá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08308,"Viseu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01006,"Aveiro","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03606,"Itaituba","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03754,"Jacareacanga","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05031,"Novo Progresso","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06195,"Rurópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08050,"Trairão","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00602,"Altamira","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00859,"Anapu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01725,"Brasil Novo","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04455,"Medicilândia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05486,"Pacajá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07805,"Senador José Porfírio","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08159,"Uruará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08357,"Vitória do Xingu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01782,"Breu Branco","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03705,"Itupiranga","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03804,"Jacundá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04976,"Nova Ipixuna","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05064,"Novo Repartimento","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08100,"Tucuruí","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00131,"Abel Figueiredo","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01576,"Bom Jesus do Tocantins","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02939,"Dom Eliseu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03093,"Goianésia do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05502,"Paragominas","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06187,"Rondon do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08126,"Ulianópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01253,"Bannach","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02764,"Cumaru do Norte","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05437,"Ourilândia do Norte","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07300,"São Félix do Xingu","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08084,"Tucumã","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",00347,"Água Azul do Norte","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02152,"Canaã dos Carajás","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02772,"Curionópolis","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02954,"Eldorado dos Carajás","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05536,"Parauapebas","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",01758,"Brejo Grande do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",04208,"Marabá","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05494,"Palestina do Pará","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07151,"São Domingos do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07508,"São João do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05551,"Pau D'Arco","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",05635,"Piçarra","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06138,"Redenção","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06161,"Rio Maria","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07458,"São Geraldo do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",07755,"Sapucaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",08407,"Xinguara","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",02707,"Conceição do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",03044,"Floresta do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06583,"Santa Maria das Barreiras","2015-11-06 00:00:00","2015-11-06 00:00:00"
15,"Pará",06708,"Santana do Araguaia","2015-11-06 00:00:00","2015-11-06 00:00:00"
16,"Amapá",00204,"Calçoene","2015-11-06 00:00:00","2015-11-06 00:00:00"
16,"Amapá",00501,"Oiapoque","2015-11-06 00:00:00","2015-11-06 00:00:00"
